text,real_label,pred_label,percentage
" I am ok, I think I will just take the attitude that Mothers Day is an invented Hallmark holiday from now on",neutral,positive,0.7562
 - Sorry only just seen this - how strange it seems only to happen from my iPhone - perhaps it is a problem with Twitterific,negative,negative,0.7374
 Happy birthday!,positive,positive,0.9836
http://twitpic.com/4wgoi - At bus boys and poets ordering medici and white chocolate banana bread pudding !!,neutral,neutral,0.7813
"Now, lets do funkey stuff, talking with magento, through xmlrpc with codeignite and output with amf (Zend) to flash",neutral,positive,0.6558
thanks !!my real name is nadia,positive,positive,0.8273
  BUT THEY ARE EXPENSIVE.,negative,negative,0.7283
"_ thatd be likely, bein that i lived on campus ha...i just moved back to the cov",neutral,neutral,0.8418
msn-ing. no school  shouldn`t there be more bank holidays? x,positive,neutral,0.5807
_tah oh no.  *hugs*,neutral,neutral,0.5345
Time flies...and i never got it all right. Why oh why?,neutral,negative,0.8745
 so sorry about that  I have the same issues...LOL. My weekend started about an hour ago!!!,negative,negative,0.541
"CCï¿½s video for Long Gone premiers today on yahoo, dont miss it: http://new.music.yahoo.com/videos/premieres/ AWESOME video and version",positive,positive,0.9773
" I know, i know...  -hugs-",positive,neutral,0.6765
 you have no interview today?,neutral,neutral,0.6796
is sad that she is not seeing Basshunter at Metroplex this weekend,negative,negative,0.8454
Date movie with Nate. Most likely Wolverine.,neutral,neutral,0.8455
" *reads phone book* Hugh Clancy, Hugh Claments...Nope, no Hugh Clap.  Poor Holly, though she`ll grab pity votes like a shark.",negative,negative,0.6805
She is beautiful . But don`t feel badly. Some neaby grans see grandkids about the same amt.   Can`t go to them = out of luck,neutral,positive,0.4611
 o can`t work that one out  pain in the **** them spammers,negative,negative,0.9004
he wasn`t there today   my free day from when the bell rang and wen it rang at the end was okayy..but after,neutral,neutral,0.5981
 aaaaaaaahhhhhhhh I hate the Internet  When will people learn 'native widgets are always best',neutral,negative,0.9374
watching W. with jas. i love my brother he`s my best friend,positive,positive,0.9893
**** it. Totally gutted I decided not to go out tonight. Roni Size is DJing,negative,negative,0.8514
  I don`t think I like this Roy Williams who dissects frogs while still alive >  You look like Chachi from Happy Days,negative,negative,0.915
 he didn`t know there was going to be a test,neutral,neutral,0.6416
 i need to get tickets though  idk how that is gonna happen,neutral,negative,0.5101
Safari 4 beta (OS X) is in a crash loop on startup. Back to non- cookie saving Firefox.,neutral,negative,0.6705
 I am definitely ready... actually ahead of you... I already have a sun tan and I was out at the beach yesterday.,negative,positive,0.9509
" As opposed to twitter, where all we can do is talk to people.  SL is fun. I already have way too many ways to distract myself.",positive,positive,0.4354
wants TFA back.  http://plurk.com/p/x2rgl,neutral,neutral,0.7541
still on the train goin 2 the southside!,neutral,neutral,0.8201
Zach G. gets an extensive profile in this weekend`s NY Times Magazine. The chances of us falling in love are getting fewer and fewer.,negative,neutral,0.4911
Coffee time  be back later kisses*,neutral,positive,0.6587
 Yeah! Thanks! I`ll be back in soon to see what ya got!,positive,positive,0.9333
ahhh fusterated,negative,negative,0.6566
Another HD - my lecturer was gob smacked by how good our presentation was,positive,positive,0.8411
  awesome! All deserved I`m sure. Miss the Crabs games,positive,positive,0.9637
 I am using iMovie 08 and it`s still not bad. I am afraid to hear what is wrong with 09,negative,neutral,0.4402
I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha,neutral,neutral,0.4722
" When balancing a chair on my chin in the sixth form common room got nothing but sneers, I hung those balls up for good",positive,negative,0.816
but i`m talking to the boy first,neutral,neutral,0.8596
_ENVY how come you dont think you did good?!,neutral,negative,0.759
"outta the shower, too bad justin couldn`t spend the night.  haha",negative,neutral,0.5209
 jealous  it looks like schindler`s list in toronto,negative,neutral,0.6132
"@ Little_Ren is lovely lovely, and so niceee",positive,positive,0.9865
I`m saying my goodbye to my car for the next 2 weeks  I`m gonna miss it!!  Its going to come back beautiful though!!,neutral,positive,0.5904
Out with Audrey,neutral,neutral,0.8634
  I`m SO jealous! I don`t know when I`ll be able to see Conan.,negative,negative,0.9539
My wedding next Thursday and I`m ill,negative,negative,0.5502
 Me neither. But it`s no longer about what we want. It`s about fairness. And fairness is whatever government says it is.,neutral,neutral,0.5603
Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!,positive,neutral,0.5111
" I should post some photos of my robots  ok - offline for 4 hours now. ttfn (oh, so IM...)",neutral,neutral,0.5064
 lmao yeaa iight n u shuld put tha c.b flick up w. **** on ur head .. juss a joke,positive,neutral,0.6672
 im sure jont wont mind sharing,positive,neutral,0.4973
 Aw...poor thing.,negative,negative,0.8999
 hahahah of course  they have such a nasty display picture :`),negative,negative,0.5266
 boooo!!! I bet it was a nice wallet too,positive,positive,0.9437
in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes,neutral,neutral,0.7712
 thanks  scared of dentists.. looks like I am going to have to get over it and go,positive,negative,0.716
 dad`s been having fever since last nite and needs 2 bottles of blood trasfusion..loaded 1 today..1 to go tomorrow.,negative,negative,0.6081
who not here be glad!!!!!!! ur sso luckyyyyyyy i hate u r home n r not enduring dis!!!!,neutral,positive,0.6737
"Sick. Feel like jello, can`t talk, and delirious.",negative,negative,0.9486
It`s teddy-chucking time,negative,negative,0.6489
OMJ! The 3rd episode of Jonas is too great! They are so funny. I wish I was the Pizza Girll. Lol <3,positive,positive,0.9902
Went and saw Fighting last night with the best friend. It wasn`t all that great but Channing Tatum is amazing!,neutral,positive,0.9657
 it makes perfect sense. I guess i am very down to earth. Thanks for your reply,positive,positive,0.9561
"Finally, im back online! I miss my lappy. So many things to follow up. Starting with Ning... Haha.",negative,positive,0.6341
" sux, I`m thinking of being an accountant. Mad monies! I`m a middleschool cafeteria manager  (25k/yr)",negative,neutral,0.7024
"The sun is shining brightly and the day has just begun! What`s in store? Wandering around les calanques maybe? Vin, definitely!",positive,positive,0.9681
" AM`s good for us GMT-ish people, I think.  Looking forward to it and hope you`re batteries & laptop will be recharged soon.",positive,positive,0.9755
the fact my room is so hot is making me feel sick,negative,positive,0.5352
my arms hurt!,negative,negative,0.9002
 I can remember those Evidence Based Management lectures...definitely the best of EBM,positive,positive,0.9381
on my way to work. I`M SO HUNGRY!,negative,negative,0.8522
starting phase 1 of operation 'be productive'- pack clothes. can`t find pink tank top!! oh no!!!,negative,negative,0.7832
My throat is on fire,neutral,negative,0.9159
Miss Cauzinhoooo already,negative,neutral,0.4888
" Fab, eh?  Feel free to come along for some pre-ep 4 chat and drinks over at Luigi`s - http://www.luigis.org.uk tomorrow!",positive,positive,0.8768
" Since part of your job is predicting what will happen on the golf course, what are you going to shoot?",neutral,neutral,0.8162
 what kind of food Celli? I`m following you now,neutral,neutral,0.8882
"I just want this whole day to hurry up,",neutral,neutral,0.3978
" Oh yes..i think almost every Tuesday in June. Which dresss, I just bought one, then felt guilty and took it back",neutral,neutral,0.5033
 OK! Oops sorry,negative,negative,0.5852
 I LLLOOOVVVEEE ICARLY,positive,positive,0.9773
" Aye, May the 4th be with you",neutral,positive,0.8499
the suns starting to go in  im getting coldddd!,neutral,neutral,0.5681
On my way to dazzle bar!!,neutral,positive,0.8113
" lol! I thought we was suppose to guess..****, I tried tho..lolol!",neutral,neutral,0.5061
" - Wow, I didn`t realise you were Hami. lol. Thanks for all the comments on my blog, dude",positive,positive,0.932
Going to jog down to uni. Quite a way from my family home but exercise and all that,neutral,neutral,0.7664
_xo  hey chick u alryt u at dads tmoro we sud do sumin aen like last week we neva dun oot this week lol  missed you ha bye hun ****,negative,neutral,0.6255
Glad to see the sun out in Dublin after a great week in London. Back to work,positive,positive,0.9805
 yes not for putting inside anything else,neutral,neutral,0.5239
" http://twitpic.com/4wfs8 - You are so weird. You need to lay off the smokes, because you`re talking to yourself.",negative,negative,0.9006
had an awsome salad! I recommend getting the Spicey buffalo chicken salad!,positive,positive,0.9668
_Luck13 they are SO cute,positive,positive,0.9852
 haha I tried covering it with make up.. It doesn`t work  lol so wearing a scarf is the way to go.,neutral,neutral,0.488
what am i gonna do when my iphone is full!,neutral,neutral,0.5502
"_zaboo its ok, it just hurts abit i thought i was doing a good job... if i was rude to people i could understand...  x",negative,neutral,0.4995
lost HIATUS noooooooooooooooooo D: back to school tomorow. back in 10TY  (),negative,neutral,0.7367
" yes super lakas ng ulan. buti nalang i have a red bandana, body ko lang ang wet look  hahah!",positive,positive,0.6472
"Watched GossiP.Girl. Dan`s so funny, haha.",positive,positive,0.9416
  hope your day gets better soon!!,positive,positive,0.9634
 Thanks for the shoutout,positive,positive,0.9792
is tired but happy the orphanage was wow.. and babysitting was really fun,neutral,positive,0.985
"A sunny morning in the Big K, with lawns to mow and a 2 mile to run to attempt, urgh",negative,neutral,0.5093
melissa_leah: my car wont start.......,negative,negative,0.6002
 couple days?! Sheeeeit. Wish I were there. Have something at Cafe Claude for me.,neutral,positive,0.8068
Bushidokan class got canceled.   I`ll just have to sign up for karate someplace else!!,negative,negative,0.6967
 does it work on the iPhone as my MacBook is flat,neutral,neutral,0.6949
"aww, jon ryan bob and greta in one picture? how adorable  and it brightens my morning, ty jon walker",positive,positive,0.9888
 maybe one day I can be on your favorite producers list  lol,positive,positive,0.8392
 You know we do!,neutral,positive,0.6456
wants this summer to actually have some sun in it,neutral,positive,0.7083
 I`d love to!!,positive,positive,0.9615
Never commute in the rain. The people get so much meaner to you.,negative,negative,0.9396
 The problem is that I`m not finished with it  But I have logged in mass hours this week on it. And i`m not being paid! POP!,negative,negative,0.7402
what a beautiful morning! nice to be out,positive,positive,0.9907
 FAILlllllllll  whenever ur freee then?,negative,negative,0.6904
_ray Bright Eyes=Contentment,positive,neutral,0.6554
http://naturalismo.files.wordpress.com/2008/01/elliott10.jpg my hero,neutral,neutral,0.5518
"I don`t think I`ve ever been up this early on a Sunday in a while. Meanwhile, the #bigweekend awaits!",neutral,positive,0.7239
i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!,neutral,neutral,0.3757
"@_Marguerite Yup, that`s Dianne and Claudia.  Dianne is new to Tweetville, Claudia has been on a while but not active here",neutral,neutral,0.7327
My legs are so **** sore. And my feet hurt to walk. Whataday,negative,negative,0.966
 Were have you been?,neutral,neutral,0.7657
 hahah! sadly there is no current activity though in the room,negative,negative,0.5187
Yeah Yeah Yeahs - Softshock,neutral,neutral,0.7584
We`ll watch & wait & tomorrow I can take anyone who needs to the dr w/o having to take everyone else....N`s cheeks & ears red as my hair,neutral,neutral,0.7223
 yeaaa i just got the link off his lj,neutral,neutral,0.8353
noone wants to talk to me  lol,negative,negative,0.695
so very irratated,negative,negative,0.6049
" http://twitpic.com/4vuuy - thats the most colorful thing ive seen all day,wow.",positive,positive,0.9811
Somebody get me out of work tomorrow.,neutral,neutral,0.7473
" haha.. you were actually in violations of someone`s trademark?! okay..  Yeah, I went to bed at 4 and I had to be up at 6. :[",negative,negative,0.4989
" I just started watching 30 Rock too, borrowed seasons 1 and 2 from my dad   so good.",positive,positive,0.9705
 i like OGBERRY,positive,positive,0.9209
Lost at bowling again  why do i suck,negative,negative,0.9627
" You are totally welcome to come hang out on my wiki  Do it, do it!",positive,positive,0.9828
? American Pie FOREVER. I`m watching it right now. They`re running naked around on the Streets! Would you do that? I would  [ NOT ],neutral,negative,0.4496
 Hey im a fan from New Zealand. Loving the show even tho we are soooo behind in the episodes! haha. Keep up the good work,positive,positive,0.989
 crud is all I can say,neutral,negative,0.6156
going to work till 3...then maybe ride the horses and take my sister to softball pratice,neutral,neutral,0.8599
 Nice! You should submit that to failblog.org,positive,positive,0.9023
"Is ahhh, ching chong wing wong ping pong ding dong!",neutral,neutral,0.6456
has two tickets to Amadou and Miriam for Tue. June 2 that I can`t use  $25 each to anyone who wants `em. That`s face value. Should be good,positive,positive,0.9116
_zwitschert There`s supposed to be a <3 at the end of my last tweet but I guess twitter ate it,neutral,negative,0.6266
is going to watch the two davids. yey,positive,positive,0.8049
 hahahaha wtf dianne????? who twitters that lol...i guess it depends who the person is.....,negative,neutral,0.6312
listening to a new Stolen Sheep record,neutral,neutral,0.8785
Home from work. A few hours of sleep then putting some miles on the new bike.,neutral,neutral,0.7624
"says livejournal is being a bee-eye-tee-see-hedge. Dum dee dum, ok back to work!",neutral,neutral,0.5167
always excited for a new chapter in my life. just didnt expect it to be so emotional.,negative,positive,0.973
in about half a hour i`m going to my english lesson...guess i`ll have to wait...and wait for a couple hours so i`m over with it.(( :S   )),negative,neutral,0.5519
 hell yeah! Belgian beer is the bomb!!  :p,positive,positive,0.9816
" hahahaha. im listening to my iTunes library, a bit of Sonia Dada atm,  ITs good",positive,positive,0.9722
http://twitpic.com/4we4j - Speed lessons on the main screens on center court! I had to take this pic,neutral,neutral,0.625
"  great pic,have to upload my pix tomo,I`ve no laptop tonight.",positive,positive,0.9072
acsvxdcbgfn soccer now. shall see young phoebe after D: I don`t want her dressed up though,negative,neutral,0.533
 You win ... SIGH Rakeem,positive,neutral,0.587
live long and prosper,positive,positive,0.7885
"just got in from michaels and had some shreddies  im well tired, it was fun though ryan wright stoned = LOL",neutral,positive,0.8528
 Hey Charicee! How are u? Are you going to come to Italy again? please tell me yes,neutral,positive,0.6265
 mean,neutral,negative,0.5721
finished proofing the wedding from March .. now just waiting for export and upload before I can share  Still have 2 more sessions to do!,neutral,neutral,0.6691
 lol yea im thinkin bday bash ! but everybodys lame wants to sit in the house instead of qo wit me  lol,neutral,neutral,0.511
waiting for the battery to charge for my new DSLR,neutral,neutral,0.6852
 My dad had to bury ours six weeks ago. She became his after I left for college fourteen years ago. Long time to have a kitty.,neutral,neutral,0.6274
" - Bless you as well sweetie, and i hope you have a wonderful weekend",positive,positive,0.9871
 you could say that. I left it in VT and have been Blackberryless since Tuesday Night. I`m lost,negative,negative,0.7366
" it was a biligual sweatshop LOL I talk 2 him once in a while but not as much, he got an r6",negative,neutral,0.7637
"super late for work, and got an earful from the PSYCHOPATH. GRRRR! Day, please get better",neutral,positive,0.6683
just got outta work.  ....... Frankie`s house.,neutral,neutral,0.8439
 kirk is hotter than spock,neutral,neutral,0.4795
ShoesShoesShoes.YayYayYay.lol.IWouldPostATwitPic.ButIdntKnoHow2,positive,neutral,0.5912
 Search for 'Asos coupons' in Google  Plenty to choose from,neutral,positive,0.6298
'I want you in my mouth and my **** b!tch' mm jeffree rawks,neutral,neutral,0.5087
 - Does the 1st show count? That would be the midnight show Thurs night/Fri morning,neutral,neutral,0.937
Omg I can`t believe jay leno is going off the air,neutral,negative,0.7077
I`m SO thinking about skippin out to NY in the morning. . . but all of my plans were for tonight  well . . . most of them anyway.,positive,neutral,0.5974
Taking 40 underpriveledged kids to the circus 2moro. BIG day planned & I still aint feeling 100%  so nervous right now..,negative,negative,0.4636
"Enjoying a beautiful day off by hanging around the house. Pam is making a cake, but she won`t give me any",positive,positive,0.824
  it might be the swine flu! haha `cause i`ve got the flu,negative,negative,0.5248
Happy Mothers day to all mums,positive,positive,0.9809
i can`t studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom,negative,negative,0.895
Is in starbucks,neutral,neutral,0.7631
 Oceans 12,neutral,neutral,0.8095
Waking up early to go to the gym,neutral,neutral,0.703
" Heavens, not good  I can empathise. Fingers crossed it doesn`t come to anything and you can sleep easy. Wishing for the best...",positive,negative,0.4686
"Out with Bre, Jimmy, and Jon P?",neutral,neutral,0.9276
"So anyone looking for a vinyl-clad playset with a 30 year mfr warranty? 3 slides, 4 swing slots, rock climbing wall, more! Amish built!",neutral,neutral,0.6457
"Going to the Star Trek premier tomorrow night, uber stoked. I don`t care if I`m a nerd, Star Trek is amazecore!!",positive,positive,0.9879
I think I should hire one of those tranlsators.. because no one ever understands me....,negative,negative,0.9027
I overslept  headache,negative,negative,0.7098
 Thanks G! My actual birthday is on Tuesday and I will be 24.,positive,positive,0.9453
happy star wars dayyyy =D and hbd to uncle LEE,positive,positive,0.9867
bout to go to work,neutral,neutral,0.6695
its so nice.. I LUV KELLY...she`s such an amazing singer  LUV HER,positive,positive,0.9929
4 more followers.. follow me and I`ll love you!! *pouts* Please?,positive,positive,0.9765
In Kelantan! Good to be (sort of) home! :pI`m guilt stricken after having that turtle egg.  Really. Won`t do it again. Really.,neutral,negative,0.3956
" Trying to watch your vids, but the audio has been disabled",neutral,negative,0.6499
Rats the Creative VADO`s are out of stock at walmart.com I`m too late.,negative,negative,0.8347
weather starting to be better  So just SHINE **,neutral,positive,0.8512
" diapers??  Feeding?  Cooking?  I don`t do any of that stuff!!!  Hahaha... yeah, right!  Sounds like a normal day for me.",neutral,neutral,0.3973
 http://twitpic.com/4bckp - that should answer part of your question,neutral,neutral,0.83
 hope ya sleepin well  guys still here,positive,positive,0.7369
 I wasn`t feeling it,negative,negative,0.7497
Watching some vintage topgear,neutral,neutral,0.7996
Follow Friday is a bit hard to do when my work kicks in on Fridays,negative,negative,0.6622
" Thank you  How`s your daughter? And by the way, how did you get 1017 followers? :O",positive,positive,0.8313
Realizing that I don`t have school today... or tomorrow... or for the next few months.  I really need to get on those job applications!,neutral,neutral,0.4551
"i want some grape soda, jack fowers` fault. also,  i wish i could see you play  are your uk gigs sold out? please reply!!!!!!!!",neutral,neutral,0.4695
 WOW.How sweet!,positive,positive,0.9753
 - THANKS ! My motivation is returning at about the rate I`m inputting coffee  !,neutral,positive,0.9288
 oh..keep working on it..you can always make it a little smaller,neutral,positive,0.6268
 Just saw you on TV for the Best Job in the World. Good luck.,positive,positive,0.9733
Happy Mothers Day!!!  <3,positive,positive,0.9855
had my last class with Scott and Julie today  going to miss them... they bought me a bottle of champagne as a congratulatory gift.,neutral,positive,0.6704
" hey i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing there",positive,positive,0.9899
_ife not to forget cinnamon!,neutral,neutral,0.5979
" I can understand, pains been part of my life for a long time now  I hope you feel a bit better soon.",neutral,neutral,0.5118
might be at cornerstone this year,neutral,neutral,0.8853
sooo glad im home  floridia was fun!! back in ATL. time to sleep....then back up to work!!! constant grind.,positive,positive,0.9646
I was feeling guilty about buying a luxurious pair of shoes yesterday until my house mate just saw them and got over excited,neutral,positive,0.4029
"has burnt my hand on the cooker, it hurts",negative,negative,0.9344
 it`s like the library equivalent of 'it`s 5 o`clock somewhere.' someone else in on the ref desk somewhere,neutral,neutral,0.6532
 The episode was AMAZING...I cried when I saw the home videos they were soooooo cute,positive,positive,0.9908
 I always feel guilty about it,negative,negative,0.8423
 no need to thank  we all just have to keep the good thought!,neutral,positive,0.7636
  ROFLMAO for the funny web portal  =D,positive,positive,0.8287
i really cant take this.,negative,negative,0.9505
  that would mean me babe! but **** it my name  is SUPER FREAKIN COOL! I give myself a pass! HA!,positive,positive,0.9131
Its 11:11...make a wish!,positive,positive,0.5936
SBS 2003 or SBS 2008! Damned if you do and damned if you don`t!  Fun times at GCH!,neutral,positive,0.7973
net .. net .. net ..  hmm. bad weather .. weird summer!,negative,negative,0.7616
is now on twitter.....,neutral,neutral,0.8157
 ugh I`m not doin too good,negative,negative,0.9402
She doesn`t believe spending many (many) thousands on a perfect wedding makes a happy couple.....A happy couple makes a perfect wedding,positive,neutral,0.4579
" Miley, I tried voting for you, and it wont let me vote for some reason  Ill try back a little later! <3",negative,negative,0.6596
"_pe awesomeness! Phillip hasn`t completely finished it but if goes up, down, left, and right",neutral,positive,0.8131
 what have you been up to ?,neutral,neutral,0.8329
 mmmm lauren conrad eeeeep im going to miss the hills,negative,negative,0.875
 Thanks,positive,positive,0.612
Ahhhh!!!!!! Almost off!!! Can`t wait!! But..I got work again rite after this!   HAT CLUB Come && gimme some Company! Oh && a Cookie! ;-),neutral,positive,0.9605
how i wish the result IS true...,neutral,neutral,0.5622
and we`re off  to OT !! exciting game like always,positive,positive,0.9646
watching Bones with Naty. Have made her a fan! Mission convert Naty: Success...now onto Mission convert Meagan,positive,positive,0.7984
  I don`t have a subject line on my phone...  just normal texts.,neutral,neutral,0.5363
 her son is 7 and captured it outside...THANK GOD I HAVE A LITTLE GIRL,positive,positive,0.8684
 and I`m really glad you were able to watch the game,positive,positive,0.9802
alhamdulilah. i got accepted into nafa,neutral,positive,0.7909
Girsl night ! on my way to foam party  No sleep tonight !!,neutral,neutral,0.5088
 Whom do yu wanna kill ??,negative,neutral,0.5083
I love being able to run my tongue along my teeth,positive,positive,0.9264
"facebook quizzes are one cure of boredom haha, my teeth/mouth hurts",positive,negative,0.7161
"I dont like seeing my best friend cry, it breaks my heart and I dont know what to do or say",negative,negative,0.9758
"_13 Awe, THX so much! Neither of need 2b sick on Friday!!  Do u have any prayer requests?",positive,positive,0.5888
 Random has an a,neutral,neutral,0.734
__marie lol..french toast sticks too!,neutral,positive,0.5164
going to the memorial for the guy in my grade that died.,neutral,neutral,0.6791
"They grovelled   On tomorrow morning, will post a link to the show, should be on just after 9am if anyone is about",neutral,neutral,0.7037
Sob! I can`t believe I`m ending my work week at the chapter about what Augusten Burrough`s father did to Ernie the guinea pig!,negative,negative,0.8298
 Bye ! Have a great time being whisked away,positive,positive,0.9046
Missed the UPS guy again! Ugh so sad  But i got some cool stuff today that i`m super excited about! And looking forward to tonight too,neutral,positive,0.8284
 lol! Ahhh well its a good song,positive,positive,0.9759
Actual wiki entry 'The Million Dollar Homepage' made me just shake my head due to the fact that ... sometimes...somtimes things just work,negative,neutral,0.5819
Boring starting work weekend soon................ 1st need to get a Tim Coffee so I can make it through this **** night shift........,negative,negative,0.693
i`m awake while others sleep,neutral,neutral,0.7466
" Thanks, I just found a article that say i cannot join you because i am in the UK though",positive,neutral,0.5275
 cheers for the aptism link,positive,positive,0.8457
Just drove by fisher and I feel so sad,negative,negative,0.9429
am bored out of my skull.  i have got to get a job.  this SUCKS.  i need entertainment. /grumbles,negative,negative,0.9689
  Cool...a VERY productive day! I just got a spot as an extra in a feature film that is filming tomorrow  AWESOME week all around!,positive,positive,0.9897
_Dew tokens haven`t been working for me all day....,negative,negative,0.8636
_cowan oh cool!  I`m gonna crash and sleep. I have been like 40 some hours working lol,neutral,positive,0.6026
 Me too   haha I did but have no credit,neutral,neutral,0.5786
Epicfail and Joseph in class... Very long liao,negative,negative,0.6226
i`m freezing in math class!,negative,negative,0.7583
Be my Yoko Ono and follow me wherever I may go !,neutral,positive,0.5737
This is what I had to endure to get prizes of to my lucky winners  http://twitpic.com/669nm,negative,neutral,0.5763
I`m likable after all HAHAHAHAHAHAHA! Still over the moon,positive,positive,0.965
there`s no point in bein on here if no one else in on,neutral,neutral,0.5632
"I wish I knew how to play an instrument. Lessons for Menace and Missy Moo, for sure. Piano? Cello? Bass? Whatever they want",positive,neutral,0.688
_Janeway OOC: Goodnight,positive,neutral,0.8649
 And who says I wasn`t just muttering to myself?,neutral,neutral,0.6201
Nic has no idea what he`s going to do!  money is all gone!,negative,negative,0.7835
work all day,neutral,neutral,0.7719
 I thought it was pretty good! I`m not a die hard Trekkie either.,positive,positive,0.9693
 TY very much for FF,positive,positive,0.8895
 Enjoy the ride,positive,positive,0.8709
Unanticipated thunderstorm quashed camping trip,negative,negative,0.4857
Happy Mother`s Day to all the mothers out there!!,positive,positive,0.9873
 and movies too!!!,neutral,positive,0.6283
 why not united kingdom,neutral,neutral,0.7525
Reading Breaking Dawn,neutral,neutral,0.8726
Omg going to die of swine flu when I go to Melbourne,negative,negative,0.96
 heeeey good luck for unair sweet!,positive,positive,0.9743
just come in from the garden. It is very warm out there but beautiful. Didnt do much revision though,positive,positive,0.9621
"_Twitster ohhhh, I love Morse, have every episode on video & sometimes gaze lovingly at them",positive,positive,0.9848
life`s good,positive,positive,0.9423
"_B I don`t know but they aren`t worth it, only 6 people actually showed up lol",neutral,negative,0.67
 p.s. There is such thing as having too much sushi! Bleeeeah!,neutral,negative,0.6534
 oh ok. Well good for you...can I get some weather updates instead??  jk.,positive,positive,0.46
Rescued two adorable pit mix pups today.  LC and Brody.  Looking to adopt?  E-mail me for more info and pics!,positive,positive,0.935
Suddenly I remember all the memories with him  ohhh please,negative,positive,0.5818
I think my cheap sunglasses are falling apart. Oh well,negative,negative,0.8816
Slept at my parents the bed was hard as a rock now my back feels like a rock,negative,neutral,0.5228
I ate to much lunch...now I don`t want to work,negative,negative,0.7723
 Is that why your blog is set to private?,neutral,neutral,0.8244
@_Glitter_  kk but 4 sum reason its not lettin me vote 4 them,negative,negative,0.7282
 ugh! **** it. Today doesn`t look like it`s going to work  i`m sorry,negative,negative,0.9632
" Even more so bc I drove their asses to Chandler, which is why I am just now getting home, an hour and a half later. LOL",neutral,negative,0.4142
Watching the film Real Women Have Curves  Why are good films on in the middle of the night?,neutral,neutral,0.5728
 Happy Mother`s Day!,positive,positive,0.9854
"drinking some really nice coffee, got to go to the dentist at 9am this morning",positive,positive,0.8262
Ugh id better get up for work,neutral,negative,0.457
I dont think he`s ganna text me.,neutral,negative,0.493
thanks for the raspberry-Laced Vanilla Cake,positive,positive,0.9425
 morning Alex hope you will be tweeting lots today as we do miss you when you aren`t on here  ****,negative,positive,0.7367
"****, got Chili Beans on my shirt  I hate that I can be a messy eater. Such a lady!",negative,negative,0.934
" WOW never seen him before , he`s bloody awesome , I think bcoz George won last year however could be bad for him  x",neutral,positive,0.7399
"I had some work to do, but my wrist hurts too much to do any of it.",negative,negative,0.899
_Divine take my advice lookin through the phone cost me my relationship,positive,negative,0.8014
Weekends are Great....if you don`t have to work them.,positive,positive,0.8968
 good morning misfit *passes you Tylenol*,positive,negative,0.4726
 YAY to som1 i no on twitter...slowly slowly rest of the grade will come around...hah  i hope ur ready for my constant tweets!!,positive,positive,0.8843
 I think that`s what`s wrong with me.  Stuffed up and when I breathe in it feels like a sore throat,negative,negative,0.968
 ****. it should be recoverable. it`s just the boot part that`s messed up. grr argh. my business was on there.,negative,negative,0.7671
 whats the next movie review going to be? You`re like wossy of brum. Just more controversial,neutral,negative,0.654
 thank you isay  kamusta ang bulacan historical gimmick at ang gilmore shopping trip?,positive,positive,0.6031
LAST DAY in St Andrews.. i will spend it on west sands! and then packing,neutral,neutral,0.7306
http://www.bodybuilding.com/fun/richardchan.htm OMFG this dude looks well `ard! He puts me to shame...,negative,positive,0.7319
 oh yeah,neutral,neutral,0.5642
 OMG are u still naked 1313 XDD omg i miss you so muuch,negative,positive,0.789
has stuff to do but refuses to do them.  :[,negative,negative,0.7192
rented bikes + unknown trail with random bumps + big hills + kids = one beat up little girl. Not a good day on the B family vacation.,negative,negative,0.9088
 No star replies to me,neutral,negative,0.5298
"Plane tickets to UK and everywhere in Europe are BEYOND cheap (for June-Oct!!), but there`s NO gig in the near future announced yet",positive,positive,0.6276
oh yeah the grill is out...its bbq tonight at the house,neutral,neutral,0.5358
  I do not mean to laugh but a little giggle did come out - sorry,negative,neutral,0.4718
 we had bbq chicken pizza last night! (although it wasn`t deep dish   glad to hear you had fun in p.r.!!,neutral,positive,0.9806
My mind is playing tricks or me!...or could it be? Either way this ish is on my mind heavy and in sleepy,neutral,negative,0.8043
if someone had`ve told me things would get this hard..i would never have done it,positive,negative,0.7821
Had a blood test today.   Wasn`t too bad really. Needed to dash 2 Starbucks after to revive my spirits with a nice Iced latte & a bun.Yum!,positive,positive,0.9379
No one wants to sit with me at lunch  I guess I`ll just bury my head in my laptop and continue to be anti-social.,negative,negative,0.9328
 no its the same,neutral,neutral,0.5988
"Hope all the Mum`s out there had a Mother`s Day with love, close family & friends.",positive,positive,0.94
 Hey Mr Luketic! I don`t have your number to send by phone.  You can email me at heathfox.com if that would be ok.,neutral,neutral,0.6966
 5 seasons that`s it? Sorry just noticed in ur previous update. My sis isn`t gonna be happy,negative,negative,0.8627
Just finished Church. Happy Mother`s Day!,positive,positive,0.9831
watching crimson tide and eating apple sauce.,neutral,neutral,0.7899
 vocï¿½ que sumiu forever do msn.,neutral,neutral,0.8573
